iter	RMSE
0	33.09405588
1	31.73601723
2	30.43365559
3	29.23830577
4	28.07064868
5	26.97069209
6	25.88492326
7	24.8287565
8	23.88794602
9	22.95837877
10	22.11005642
11	21.24653073
12	20.49478789
13	19.754357
14	19.05609138
15	18.37808661
16	17.69779447
17	17.06336202
18	16.43267237
19	15.8596807
20	15.30980993
21	14.76220527
22	14.30719697
23	13.81633833
24	13.41838369
25	12.96623083
26	12.5617735
27	12.17900053
28	11.84622175
29	11.51538046
30	11.19315361
31	10.87030064
32	10.6248384
33	10.3371281
34	10.05763879
35	9.828036764
36	9.591782863
37	9.377148283
38	9.13939985
39	8.926557235
40	8.72976022
41	8.532224275
42	8.35039107
43	8.170864083
44	8.016320483
45	7.877081155
46	7.73997177
47	7.60831923
48	7.481311382
49	7.365056941
50	7.25809264
51	7.137114668
52	7.029184608
53	6.928573512
54	6.830034501
55	6.744558741
56	6.661694959
57	6.579162077
58	6.506858943
59	6.448042177
60	6.376706971
61	6.320392805
62	6.262339937
63	6.208428173
64	6.149560119
65	6.096033555
66	6.044564999
67	5.991136231
68	5.943662875
69	5.89757416
70	5.862610748
71	5.819906799
72	5.780572264
73	5.732282774
74	5.687938086
75	5.647708902
76	5.617127194
77	5.583471302
78	5.548642012
79	5.518475369
80	5.484952631
81	5.449332212
82	5.413501718
83	5.395278308
84	5.362105252
85	5.335006949
86	5.309314519
87	5.28034658
88	5.257189387
89	5.232144659
90	5.201259785
91	5.180085637
92	5.156217503
93	5.142351934
94	5.11939167
95	5.102931775
96	5.0827567
97	5.062644983
98	5.036635962
99	5.010594161
100	4.990977175
101	4.973032582
102	4.962099496
103	4.93685428
104	4.92251209
105	4.900898533
106	4.891856701
107	4.867660252
108	4.857548195
109	4.843429928
110	4.822876831
111	4.803916356
112	4.789586264
113	4.773347473
114	4.761179222
115	4.735933995
116	4.721098708
117	4.701655668
118	4.691644223
119	4.678465096
120	4.663581445
121	4.649179513
122	4.634255393
123	4.612034399
124	4.596008537
125	4.582420795
126	4.570739368
127	4.559464511
128	4.546758216
129	4.53803905
130	4.526321323
131	4.514219036
132	4.503597764
133	4.492347278
134	4.477777185
135	4.46355292
136	4.451706875
137	4.431652721
138	4.417954989
139	4.405771197
140	4.394671288
141	4.383960987
142	4.371673225
143	4.362568147
144	4.3527258
145	4.344043917
146	4.333020215
147	4.322080382
148	4.30713864
149	4.293168842
150	4.280228572
151	4.269873044
152	4.258379183
153	4.246777198
154	4.23478165
155	4.223605868
156	4.207459471
157	4.188893801
158	4.177654201
159	4.1641041
160	4.157428188
161	4.140302617
162	4.126712627
163	4.116573569
164	4.099787804
165	4.087855641
166	4.075149074
167	4.065224302
168	4.058070362
169	4.04462862
170	4.035888874
171	4.026124589
172	4.015897077
173	4.007962562
174	3.998221169
175	3.987124851
176	3.980843276
177	3.973477858
178	3.964044338
179	3.957841928
180	3.951033479
181	3.947107409
182	3.939758689
183	3.929093008
184	3.91791785
185	3.911950249
186	3.903737074
187	3.891486638
188	3.880334439
189	3.871597562
190	3.859067659
191	3.843623575
192	3.83651142
193	3.830262389
194	3.819080503
195	3.809067993
196	3.800245599
197	3.788285075
198	3.775790108
199	3.761658126
200	3.753570281
201	3.74505754
202	3.732419489
203	3.720643922
204	3.711415137
205	3.702592016
206	3.692319261
207	3.683212209
208	3.6697711
209	3.661930787
210	3.656556362
211	3.649807723
212	3.64113284
213	3.634479836
214	3.626791621
215	3.616516501
216	3.607410793
217	3.600258362
218	3.597298884
219	3.590088552
220	3.585586733
221	3.57577158
222	3.567614365
223	3.560117565
224	3.554844319
225	3.549876566
226	3.541308537
227	3.537198273
228	3.530350892
229	3.526681752
230	3.521688725
231	3.517659852
232	3.509911141
233	3.505229909
234	3.497260601
235	3.487684784
236	3.479173739
237	3.46879822
238	3.461804073
239	3.457018471
240	3.453818803
241	3.447269564
242	3.441182197
243	3.437174914
244	3.432677311
245	3.428114387
246	3.424084905
247	3.417890082
248	3.409783025
249	3.402833985
250	3.398685095
251	3.392945689
252	3.389291378
253	3.383434864
254	3.379554667
255	3.375891145
256	3.367810916
257	3.363981207
258	3.356252959
259	3.351529356
260	3.346989502
261	3.341618622
262	3.333794789
263	3.329931611
264	3.324572041
265	3.318231685
266	3.312034298
267	3.306379715
268	3.304229152
269	3.293031909
270	3.289648614
271	3.282585767
272	3.275150354
273	3.269959991
274	3.265877088
275	3.263823412
276	3.252864776
277	3.249992997
278	3.243004056
279	3.234632302
280	3.226120784
281	3.223220215
282	3.216270156
283	3.214379744
284	3.210731046
285	3.206819377
286	3.203550879
287	3.195110827
288	3.190495325
289	3.184095291
290	3.180221483
291	3.176642845
292	3.172416882
293	3.169761007
294	3.168059512
295	3.164349199
296	3.151798495
297	3.145148172
298	3.13937016
299	3.136129539
