iter	Passed	Remaining
0	159	47786
1	169	25190
2	179	17768
3	186	13774
4	192	11354
5	198	9726
6	204	8569
7	210	7674
8	215	6971
9	220	6407
10	226	5944
11	231	5554
12	236	5224
13	241	4941
14	246	4692
15	252	4477
16	257	4286
17	262	4115
18	267	3956
19	272	3810
20	277	3682
21	282	3565
22	287	3460
23	291	3356
24	296	3257
25	300	3165
26	304	3080
27	309	3003
28	313	2928
29	317	2861
30	322	2797
31	326	2734
32	330	2673
33	334	2617
34	338	2562
35	342	2511
36	346	2462
37	350	2417
38	354	2374
39	358	2332
40	362	2291
41	366	2254
42	370	2217
43	375	2182
44	379	2149
45	383	2116
46	387	2084
47	391	2053
48	395	2026
49	400	2001
50	404	1976
51	409	1951
52	413	1927
53	417	1902
54	421	1879
55	426	1857
56	430	1836
57	435	1816
58	439	1796
59	443	1775
60	448	1756
61	452	1737
62	456	1715
63	460	1698
64	464	1679
65	468	1661
66	472	1642
67	477	1628
68	481	1610
69	484	1592
70	488	1575
71	493	1561
72	497	1547
73	501	1531
74	506	1518
75	510	1505
76	515	1491
77	519	1477
78	523	1465
79	528	1452
80	532	1439
81	537	1429
82	543	1422
83	548	1409
84	552	1397
85	557	1386
86	561	1374
87	565	1362
88	569	1350
89	574	1339
90	578	1328
91	582	1316
92	586	1305
93	590	1294
94	594	1283
95	598	1271
96	602	1260
97	606	1250
98	610	1239
99	614	1229
100	618	1219
101	623	1209
102	627	1199
103	630	1188
104	634	1179
105	638	1169
106	642	1158
107	645	1148
108	650	1139
109	654	1129
110	657	1120
111	661	1110
112	665	1101
113	669	1092
114	673	1082
115	677	1074
116	680	1065
117	685	1056
118	688	1047
119	692	1039
120	696	1031
121	701	1023
122	705	1014
123	709	1007
124	713	999
125	717	991
126	722	983
127	725	975
128	729	967
129	733	959
130	737	951
131	741	943
132	745	936
133	749	928
134	753	920
135	756	912
136	761	905
137	764	897
138	768	890
139	772	882
140	776	875
141	780	868
142	784	861
143	787	853
144	792	847
145	796	840
146	800	832
147	803	825
148	808	819
149	811	811
150	814	804
151	817	796
152	821	789
153	825	783
154	829	776
155	834	769
156	838	763
157	842	756
158	845	749
159	849	743
160	854	737
161	858	731
162	862	724
163	866	718
164	870	712
165	874	706
166	879	700
167	883	694
168	888	688
169	892	682
170	896	676
171	900	670
172	904	663
173	908	657
174	911	651
175	915	644
176	919	639
177	923	633
178	927	626
179	930	620
180	936	615
181	940	609
182	943	603
183	947	597
184	951	591
185	955	585
186	959	579
187	963	573
188	967	568
189	971	562
190	974	556
191	978	550
192	982	544
193	986	538
194	989	533
195	994	527
196	998	522
197	1002	516
198	1006	510
199	1010	505
200	1015	499
201	1019	494
202	1023	489
203	1027	483
204	1031	478
205	1035	472
206	1039	467
207	1043	461
208	1047	456
209	1051	450
210	1054	444
211	1058	439
212	1063	434
213	1067	428
214	1070	423
215	1074	417
216	1078	412
217	1082	407
218	1086	401
219	1089	396
220	1093	391
221	1098	385
222	1101	380
223	1105	375
224	1109	369
225	1113	364
226	1116	358
227	1120	353
228	1124	348
229	1128	343
230	1131	337
231	1135	332
232	1138	327
233	1142	322
234	1146	317
235	1150	312
236	1154	306
237	1158	301
238	1162	296
239	1166	291
240	1170	286
241	1174	281
242	1178	276
243	1182	271
244	1186	266
245	1190	261
246	1195	256
247	1199	251
248	1203	246
249	1206	241
250	1210	236
251	1213	231
252	1217	226
253	1221	221
254	1225	216
255	1229	211
256	1234	206
257	1237	201
258	1241	196
259	1245	191
260	1248	186
261	1252	181
262	1256	176
263	1260	171
264	1264	166
265	1268	162
266	1272	157
267	1275	152
268	1278	147
269	1284	142
270	1288	137
271	1291	132
272	1295	128
273	1299	123
274	1303	118
275	1307	113
276	1311	108
277	1315	104
278	1318	99
279	1322	94
280	1326	89
281	1330	84
282	1335	80
283	1338	75
284	1342	70
285	1346	65
286	1351	61
287	1354	56
288	1358	51
289	1362	46
290	1366	42
291	1370	37
292	1374	32
293	1378	28
294	1381	23
295	1384	18
296	1388	14
297	1392	9
298	1396	4
299	1400	0
