Country;Semester;Electricity Price;time_frequency;energy_product;energy_consumption;unit_of_measure;tax_type;currency;consumption_description;consumption_band
Belgium;2021-S1;0.308;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2021-S1;0.0885;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Czechia;2021-S1;0.246;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Denmark;2021-S1;0.1595;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Germany;2021-S1;0.2725;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Estonia;2021-S1;0.1295;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Ireland;2021-S1;0.352;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Greece;2021-S1;0.1989;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Spain;2021-S1;0.3415;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
France;2021-S1;0.2884;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Croatia;2021-S1;0.1652;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Italy;2021-S1;0.3575;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2021-S1;0.2575;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Latvia;2021-S1;0.1454;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2021-S1;0.109;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2021-S1;0.2754;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Hungary;2021-S1;0.077;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Malta;2021-S1;0.3497;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2021-S1;0.4316;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Austria;2021-S1;0.25;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Poland;2021-S1;0.1344;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Portugal;2021-S1;0.2176;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Romania;2021-S1;0.1138;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2021-S1;0.1927;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
