Model;Horizon_Days;MAE;MSE;RMSE;R2
LightGBM;1;1.6595611540964008;3.390485352293955;1.841327062825601;0.9610852918560173
Naive;1;0.6740000000000009;0.6799800000000009;0.8246089982531121;0.9921954468183023
Ridge Regression;1;1.6469812282453546;3.8018820930885466;1.9498415558933364;0.9563634357097947
LightGBM;7;3.91998190878412;16.452466072873072;4.056163960304499;0.76751380219991
Naive;7;0.7760000000000005;1.3026799999999998;1.1413500777587917;0.9815921139840811
Ridge Regression;7;3.9012331888322094;23.051844165091246;4.801233608677175;0.6742594345136749
LightGBM;14;6.532549930347729;64.54644389420766;8.034080152339012;0.19379925534412945
Naive;14;3.3099999999999996;15.493579999999998;3.9361885117458484;0.8064814267094547
Ridge Regression;14;7.641193959819509;100.60048207020245;10.029979165990449;-0.25652442899360084
LightGBM;30;5.3050938308028766;45.29961799396925;6.73049908951552;0.1491732073704144
Naive;30;2.0460000000000016;6.936980000000007;2.633814723931812;0.8697082071482072
Ridge Regression;30;12.378894611673422;228.22324179615822;15.107059336487636;-3.286536121492298
