;Mean;Median;Std;Min;Q1;Q3;Max;IQR;CV;Skewness;Kurtosis
Year;2022.9871;2023.0;1.4139;2021.0;2022.0;2024.0;2025.0;2.0;0.0007;0.0064;-1.2982
Semester_Number;1.4974;1.0;0.5002;1.0;1.0;2.0;2.0;1.0;0.334;0.0103;-2.0033
Electricity Price;0.1791;0.1722;0.0862;0.0279;0.1056;0.2321;0.5871;0.1265;0.4813;0.7147;0.2749
Gas_Price;0.051;0.0402;0.0271;0.0219;0.0313;0.0714;0.1059;0.0401;0.5311;0.9742;-0.5322
Gas_Price_Change;0.001;0.0007;0.0288;-0.0637;-0.0065;0.0139;0.0495;0.0204;27.5483;-0.7053;0.8309
Gas_Price_Pct_Change;0.2145;0.0176;0.7779;-0.6014;-0.179;0.2889;2.2622;0.4679;3.6264;1.8732;2.5681
Gas_Trend;0.1031;0.5;0.9418;-1.0;-1.0;1.0;1.0;2.0;9.1357;-0.2065;-1.8427
Ukraine_War;0.7964;1.0;0.4029;0.0;1.0;1.0;1.0;0.0;0.5058;-1.474;0.1729
Energy_Crisis;0.3995;0.0;0.49;0.0;0.0;1.0;1.0;1.0;1.2266;0.411;-1.8343
Middle_East_Conflict;0.2964;0.0;0.4569;0.0;0.0;1.0;1.0;1.0;1.5414;0.8929;-1.2049
Gas_Price_Median;0.0498;0.0395;0.0264;0.0211;0.0314;0.0708;0.1072;0.0394;0.5306;1.0512;-0.2225
Gas_Price_Max;0.098;0.055;0.0766;0.035;0.0377;0.183;0.24;0.1453;0.7817;0.9099;-0.9725
Gas_Price_Min;0.0282;0.0272;0.0084;0.0149;0.0238;0.0304;0.0486;0.0066;0.2965;0.9882;1.1874
Gas_Price_Std;0.0139;0.0063;0.0133;0.0021;0.0048;0.025;0.0437;0.0201;0.9626;1.1397;-0.0744
Gas_Price_Range;0.0698;0.0278;0.0714;0.0105;0.0201;0.1492;0.2122;0.1291;1.0235;0.968;-0.7821
Gas_Price_CV;0.0002;0.0002;0.0001;0.0001;0.0001;0.0003;0.0004;0.0002;0.5014;0.4932;-0.9644
