Feature;Importance
Gas_Price;143
Country_Belgium;67
Country_Denmark;67
Country_Ireland;65
Country_Germany;63
Country_Italy;62
Country_Cyprus;56
Country_Spain;54
Country_Liechtenstein;53
Country_Czechia;51
Gas_Price_Pct_Change;50
Country_Austria;49
Country_Greece;46
Country_Latvia;44
Country_France;42
Country_Netherlands;40
Country_Sweden;40
Country_Luxembourg;40
Country_Portugal;38
Ukraine_War;34
Country_Kosovo*;32
Country_Türkiye;31
Country_Georgia;30
Country_Finland;29
Country_Bosnia and Herzegovina;28
Country_Serbia;28
Country_Montenegro;27
Country_Hungary;26
Year;26
Country_Estonia;26
Country_North Macedonia;25
Country_Bulgaria;24
Country_Norway;22
Country_Lithuania;20
Country_Romania;18
Country_Malta;17
Country_Croatia;16
Country_Iceland;13
Country_Moldova;12
Semester_Number;12
Energy_Crisis;9
Country_Poland;6
Country_Slovakia;4
Middle_East_Conflict;2
Gas_Trend;2
Country_Slovenia;0
Country_Ukraine;0
