Feature;Importance;Coefficient
Ukraine_War;26651037948.486183;26651037948.486183
Energy_Crisis;20178891541.136875;-20178891541.136875
Year;18936257952.638348;-18936257952.638348
Gas_Trend;11894701396.611984;-11894701396.611984
Middle_East_Conflict;7820875244.104275;-7820875244.104275
Gas_Price;3196537212.1323338;3196537212.1323338
Gas_Price_Pct_Change;2996406014.113301;2996406014.113301
Semester_Number;512378338.7414034;-512378338.7414034
Country_Belgium;0.03565970897737782;0.03565970897737782
Country_Denmark;0.03448088708044608;0.03448088708044608
Country_Germany;0.033387274720533405;0.033387274720533405
Country_Ireland;0.03313360934363372;0.03313360934363372
Country_Italy;0.029888203128845475;0.029888203128845475
Country_Liechtenstein;0.028050588223106073;0.028050588223106073
Country_Cyprus;0.024996370080761887;0.024996370080761887
Country_Spain;0.023416114090650808;0.023416114090650808
Country_Czechia;0.021976400464580208;0.021976400464580208
Country_Austria;0.021202320938514395;0.021202320938514395
Country_Greece;0.01977358539692724;0.01977358539692724
Country_Latvia;0.01894375232154333;0.01894375232154333
Country_France;0.018363765679815403;0.018363765679815403
Country_Luxembourg;0.01816664083958984;0.01816664083958984
Country_Netherlands;0.017667039850493893;0.017667039850493893
Country_Sweden;0.01748153369408101;0.01748153369408101
Country_Portugal;0.01715027055615792;0.01715027055615792
Country_Finland;0.015269285417366312;0.015269285417366312
Country_Estonia;0.014792452768897953;0.014792452768897953
Country_Norway;0.014230185777705628;0.014230185777705628
Country_Lithuania;0.014039962710068408;0.014039962710068408
Country_Romania;0.013817249528074171;0.013817249528074171
Country_Slovenia;0.011163527633470949;0.011163527633470949
Country_Slovakia;0.009424774281797;0.009424774281797
Country_Poland;0.008921926935727242;0.008921926935727242
Country_Moldova;0.007185936886353847;0.007185936886353847
Country_Iceland;0.007035795973704589;0.007035795973704589
Country_Croatia;0.005679628865648609;0.005679628865648609
Country_Malta;0.005324320159399263;0.005324320159399263
Country_Kosovo*;0.004358609680597977;-0.004358609680597977
Country_Georgia;0.003712926680067557;-0.003712926680067557
Country_Türkiye;0.0035167276801075786;-0.0035167276801075786
Country_Bosnia and Herzegovina;0.001893759324952066;-0.001893759324952066
Country_Serbia;0.0017023122854880057;-0.0017023122854880057
Country_Bulgaria;0.0016625438190628796;0.0016625438190628796
Country_North Macedonia;0.000544590613571927;0.000544590613571927
Country_Ukraine;0.00041298242285847664;-0.00041298242285847664
Country_Montenegro;0.0003953253326471895;-0.0003953253326471895
Country_Hungary;4.160967980674448e-05;4.160967980674448e-05
