Feature;Importance;Coefficient
Gas_Price;0.05169111087484141;0.05169111087484141
Gas_Trend;0.0365906758215793;-0.0365906758215793
Country_Belgium;0.03565553874193005;0.03565553874193005
Year;0.03542528982733405;0.03542528982733405
Country_Denmark;0.03447667269476729;0.03447667269476729
Country_Germany;0.03338342261751026;0.03338342261751026
Country_Ireland;0.03313052621409661;0.03313052621409661
Country_Italy;0.02988436378590378;0.02988436378590378
Country_Liechtenstein;0.028047571939235;0.028047571939235
Country_Cyprus;0.024993057566754275;0.024993057566754275
Country_Spain;0.02341179646103483;0.02341179646103483
Energy_Crisis;0.02201762807339858;-0.02201762807339858
Country_Czechia;0.021972789582235634;0.021972789582235634
Country_Austria;0.021200928684316805;0.021200928684316805
Middle_East_Conflict;0.02013272378225506;-0.02013272378225506
Country_Greece;0.019770483402508133;0.019770483402508133
Country_Latvia;0.0189393499100392;0.0189393499100392
Country_France;0.018359795652216217;0.018359795652216217
Country_Luxembourg;0.018162878921433156;0.018162878921433156
Ukraine_War;0.018076007982126226;-0.018076007982126226
Country_Netherlands;0.017662354789676916;0.017662354789676916
Country_Sweden;0.017477292577803834;0.017477292577803834
Country_Portugal;0.01714602463270727;0.01714602463270727
Gas_Price_Pct_Change;0.01580448858859365;-0.01580448858859365
Country_Finland;0.01526444904793411;0.01526444904793411
Country_Estonia;0.014788951122765705;0.014788951122765705
Country_Norway;0.01422520289015604;0.01422520289015604
Country_Lithuania;0.014036189171979683;0.014036189171979683
Country_Romania;0.01381227048145715;0.01381227048145715
Country_Slovenia;0.011159492583149007;0.011159492583149007
Country_Slovakia;0.009420829809679971;0.009420829809679971
Country_Poland;0.008917671340388159;0.008917671340388159
Country_Moldova;0.007181642904454657;0.007181642904454657
Country_Iceland;0.007031485664927778;0.007031485664927778
Country_Croatia;0.005678753340418132;0.005678753340418132
Country_Malta;0.005319824851198199;0.005319824851198199
Semester_Number;0.004471512862709287;0.004471512862709287
Country_Kosovo*;0.00436268276074962;-0.00436268276074962
Country_Georgia;0.003696354786659715;-0.003696354786659715
Country_Türkiye;0.0035177189962189736;-0.0035177189962189736
Country_Bosnia and Herzegovina;0.0018976014118500895;-0.0018976014118500895
Country_Serbia;0.0017066119405220518;-0.0017066119405220518
Country_Bulgaria;0.0016561199236192696;0.0016561199236192696
Country_North Macedonia;0.0005404779773099214;0.0005404779773099214
Country_Ukraine;0.0004279352872986099;-0.0004279352872986099
Country_Montenegro;0.00039932193850078095;-0.00039932193850078095
Country_Hungary;3.79780924020395e-05;3.79780924020395e-05
