Feature;Importance
Country_Türkiye;0.065370075
Country_Kosovo*;0.06169385
Country_Bosnia and Herzegovina;0.06080018
Country_Serbia;0.055257097
Country_Georgia;0.053603042
Country_Denmark;0.052129935
Country_Montenegro;0.049770348
Country_Belgium;0.048725706
Country_North Macedonia;0.047752734
Country_Hungary;0.04601932
Country_Germany;0.04477149
Country_Ireland;0.041718937
Country_Bulgaria;0.038006913
Country_Italy;0.035602007
Country_Liechtenstein;0.028939456
Country_Cyprus;0.022362988
Country_Malta;0.02034252
Country_Croatia;0.019072808
Country_Spain;0.015830668
Country_Czechia;0.015329467
Country_Austria;0.013400563
Ukraine_War;0.012983344
Country_Netherlands;0.012354465
Country_Greece;0.01200086
Country_Iceland;0.010661568
Country_Moldova;0.010502551
Country_Latvia;0.00912348
Country_France;0.008868688
Country_Luxembourg;0.008411386
Country_Portugal;0.0075427974
Country_Sweden;0.0070718806
Country_Romania;0.006955961
Country_Poland;0.006676363
Country_Ukraine;0.006450699
Year;0.0064055403
Country_Finland;0.00479022
Country_Slovakia;0.0045269965
Country_Lithuania;0.0042931642
Country_Norway;0.004204014
Country_Estonia;0.0040830066
Energy_Crisis;0.00354473
Gas_Price_Pct_Change;0.0024842885
Gas_Trend;0.0022700245
Gas_Price;0.0022512495
Semester_Number;0.0020913053
Country_Slovenia;0.0020027072
Middle_East_Conflict;0.0009485875
